CPT_CODE|CPT_LONG_DESCRIPTION|CPT_LONG_DESCRIPTION
10021|FINE NEEDLE ASPIRATION; WITHOUT IMAGING GUIDANCE|FINE NEEDLE ASPIRATION; WITHOUT IMAGING GUIDANCE
10022|FINE NEEDLE ASPIRATION; WITH IMAGING GUIDANCE|FINE NEEDLE ASPIRATION; WITH IMAGING GUIDANCE
10040|ACNE SURGERY (EG, MARSUPIALIZATION, OPENING OR REMOVAL OF MULTIPLE MILIA, COMEDONES, CYSTS, PUSTULES)|ACNE SURGERY (EG, MARSUPIALIZATION, OPENING OR REMOVAL OF MULTIPLE MILIA, COMEDONES, CYSTS, PUSTULES)
10060|INCISION AND DRAINAGE OF ABSCESS (EG, CARBUNCLE, SUPPURATIVE HIDRADENITIS, CUTANEOUS OR SUBCUTANEOUS ABSCESS, CYST, FURUNCLE, OR PARONYCHIA); S|INCISION AND DRAINAGE OF ABSCESS (EG, CARBUNCLE, SUPPURATIVE HIDRADENITIS, CUTANEOUS OR SUBCUTANEOUS ABSCESS, CYST, FURUNCLE, OR PARONYCHIA); S
10061|INCISION AND DRAINAGE OF ABSCESS (EG, CARBUNCLE, SUPPURATIVE HIDRADENITIS, CUTANEOUS OR SUBCUTANEOUS ABSCESS, CYST, FURUNCLE, OR PARONYCHIA); C|INCISION AND DRAINAGE OF ABSCESS (EG, CARBUNCLE, SUPPURATIVE HIDRADENITIS, CUTANEOUS OR SUBCUTANEOUS ABSCESS, CYST, FURUNCLE, OR PARONYCHIA); C
10080|INCISION AND DRAINAGE OF PILONIDAL CYST; SIMPLE|INCISION AND DRAINAGE OF PILONIDAL CYST; SIMPLE
10081|INCISION AND DRAINAGE OF PILONIDAL CYST; COMPLICATED|INCISION AND DRAINAGE OF PILONIDAL CYST; COMPLICATED
10120|INCISION AND REMOVAL OF FOREIGN BODY, SUBCUTANEOUS TISSUES; SIMPLE|INCISION AND REMOVAL OF FOREIGN BODY, SUBCUTANEOUS TISSUES; SIMPLE
10121|INCISION AND REMOVAL OF FOREIGN BODY, SUBCUTANEOUS TISSUES; COMPLICATED|INCISION AND REMOVAL OF FOREIGN BODY, SUBCUTANEOUS TISSUES; COMPLICATED
10140|INCISION AND DRAINAGE OF HEMATOMA, SEROMA OR FLUID COLLECTION|INCISION AND DRAINAGE OF HEMATOMA, SEROMA OR FLUID COLLECTION
