CPT_LONG_DESCRIPTION|CPT_ADD_NOTE|CPT_CODE|CPT_SHORT_DESCRIPTION
FINE NEEDLE ASPIRATION; WITHOUT IMAGING GUIDANCE||10021|FNA W/O IMAGE
FINE NEEDLE ASPIRATION; WITH IMAGING GUIDANCE||10022|FNA W/IMAGE
ACNE SURGERY (EG, MARSUPIALIZATION, OPENING OR REMOVAL OF MULTIPLE MILIA, COMEDONES, CYSTS, PUSTULES)||10040|ACNE SURGERY OF SKIN ABSCESS
INCISION AND DRAINAGE OF ABSCESS (EG, CARBUNCLE, SUPPURATIVE HIDRADENITIS, CUTANEOUS OR SUBCUTANEOUS ABSCESS, CYST, FURUNCLE, OR PARONYCHIA); S|IMP|10060|DRAINAGE OF SKIN ABSCESS
INCISION AND DRAINAGE OF ABSCESS (EG, CARBUNCLE, SUPPURATIVE HIDRADENITIS, CUTANEOUS OR SUBCUTANEOUS ABSCESS, CYST, FURUNCLE, OR PARONYCHIA); C|OMP|10061|DRAINAGE OF SKIN ABSCESS
INCISION AND DRAINAGE OF PILONIDAL CYST; SIMPLE||10080|DRAINAGE OF PILONIDAL CYST
INCISION AND DRAINAGE OF PILONIDAL CYST; COMPLICATED||10081|DRAINAGE OF PILONIDAL CYST
INCISION AND REMOVAL OF FOREIGN BODY, SUBCUTANEOUS TISSUES; SIMPLE||10120|REMOVE FOREIGN BODY
INCISION AND REMOVAL OF FOREIGN BODY, SUBCUTANEOUS TISSUES; COMPLICATED||10121|REMOVE FOREIGN BODY
INCISION AND DRAINAGE OF HEMATOMA, SEROMA OR FLUID COLLECTION||10140|DRAINAGE OF HEMATOMA/FLUID
PUNCTURE ASPIRATION OF ABSCESS, HEMATOMA, BULLA, OR CYST||10160|PUNCTURE DRAINAGE OF LESION
INCISION AND DRAINAGE, COMPLEX, POSTOPERATIVE WOUND INFECTION||10180|COMPLEX DRAINAGE, WOUND
DEBRIDEMENT OF EXTENSIVE ECZEMATOUS OR INFECTED SKIN; UP TO 10% OF BODY SURFACE||11000|DEBRIDE INFECTED SKIN
DEBRIDEMENT OF EXTENSIVE ECZEMATOUS OR INFECTED SKIN; EACH ADDITIONAL 10% OF THE BODY SURFACE (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY|PRO|11001|DEBRIDE INFECTED SKIN ADD-ON
DEBRIDEMENT INCLUDING REMOVAL OF FOREIGN MATERIAL ASSOCIATED WITH OPEN FRACTURE(S) AND/OR DISLOCATION(S); SKIN AND SUBCUTANEOUS TISSUES||11010|DEBRIDE SKIN, FX
DEBRIDEMENT INCLUDING REMOVAL OF FOREIGN MATERIAL ASSOCIATED WITH OPEN FRACTURE(S) AND/OR DISLOCATION(S); SKIN, SUBCUTANEOUS TISSUES, MUSCLE FA|SCI|11011|DEBRIDE SKIN/MUSCLE, FX
DEBRIDEMENT INCLUDING REMOVAL OF FOREIGN MATERIAL ASSOCIATED WITH OPEN FRACTURE(S) AND/OR DISLOCATION(S); SKIN, SUBCUTANEOUS TISSUES, MUSCLE FA|SCI|11012|DEBRIDE SKIN/MUSCLE/BONE, FX
DEBRIDEMENT; SKIN, PARTIAL THICKNESS||11040|DEBRIDE SKIN, PARTIAL
DEBRIDEMENT; SKIN, FULL THICKNESS||11041|DEBRIDE SKIN, FULL
DEBRIDEMENT; SKIN, AND SUBCUTANEOUS TISSUE||11042|DEBRIDE SKIN/TISSUE
DEBRIDEMENT; SKIN, SUBCUTANEOUS TISSUE, AND MUSCLE||11043|DEBRIDE TISSUE/MUSCLE
DEBRIDEMENT; SKIN, SUBCUTANEOUS TISSUE, MUSCLE, AND BONE||11044|DEBRIDE TISSUE/MUSCLE/BONE
PARING OR CUTTING OF BENIGN HYPERKERATOTIC LESION (EG, CORN OR CALLUS); SINGLE LESION||11055|TRIM SKIN LESION
PARING OR CUTTING OF BENIGN HYPERKERATOTIC LESION (EG, CORN OR CALLUS); TWO TO FOUR LESIONS||11056|TRIM SKIN LESIONS, 2 TO 4
PARING OR CUTTING OF BENIGN HYPERKERATOTIC LESION (EG, CORN OR CALLUS); MORE THAN FOUR LESIONS||11057|TRIM SKIN LESIONS, OVER 4
BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUS MEMBRANE (INCLUDING SIMPLE CLOSURE), UNLESS OTHERWISE LISTED (SEPARATE PROCEDURE); SINGLE LES|ION|11100|BIOPSY OF SKIN LESION
BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUS MEMBRANE (INCLUDING SIMPLE CLOSURE),UNLESS OTHERWISE LISTED (SEPARATE PROCEDURE); EACH SEPARA|TE/|11101|BIOPSY, SKIN ADD-ON
REMOVAL OF SKIN TAGS, MULTIPLE FIBROCUTANEOUS TAGS, ANY AREA; UP TO AND INCLUDING 15 LESIONS||11200|REMOVAL OF SKIN TAGS
REMOVAL OF SKIN TAGS, MULTIPLE FIBROCUTANEOUS TAGS, ANY AREA; EACH ADDITIONAL TEN LESIONS (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROC|EDU|11201|REMOVE SKIN TAGS ADD-ON
SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, TRUNK, ARMS OR LEGS; LESION DIAMETER 0.5 CM OR LESS||11300|SHAVE SKIN LESION
SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, TRUNK, ARMS OR LEGS; LESION DIAMETER 0.6 TO 1.0 CM||11301|SHAVE SKIN LESION
SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, TRUNK, ARMS OR LEGS; LESION DIAMETER 1.1 TO 2.0 CM||11302|SHAVE SKIN LESION
SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, TRUNK, ARMS OR LEGS; LESION DIAMETER OVER 2.0 CM||11303|SHAVE SKIN LESION
SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, SCALP, NECK, HANDS, FEET, GENITALIA; LESION DIAMETER 0.5 CM OR LESS||11305|SHAVE SKIN LESION
SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, SCALP, NECK, HANDS, FEET, GENITALIA; LESION DIAMETER 0.6 TO 1.0 CM||11306|SHAVE SKIN LESION
SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, SCALP, NECK, HANDS, FEET, GENITALIA; LESION DIAMETER 1.1 TO 2.0 CM||11307|SHAVE SKIN LESION
SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, SCALP, NECK, HANDS, FEET, GENITALIA; LESION DIAMETER OVER 2.0 CM||11308|SHAVE SKIN LESION
SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; LESION DIAMETER 0.5 CM OR LESS||11310|SHAVE SKIN LESION
SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; LESION DIAMETER 0.6 TO 1.0 CM||11311|SHAVE SKIN LESION
SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; LESION DIAMETER 1.1 TO 2.0 CM||11312|SHAVE SKIN LESION
SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; LESION DIAMETER OVER 2.0 CM||11313|SHAVE SKIN LESION
EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; EXCISED DIAMETER 0.5 CM OR LESS||11400|EXC B9+MARG ARM DIAM 0.5 < CM
EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; EXCISED DIAMETER 0.6 TO 1.0 CM||11401|EXC B9+MARG ARM DIAM 0.6-1 CM
EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; EXCISED DIAMETER 1.1 TO 2.0 CM||11402|EXC B9+MARG ARM DIAM 1.1-2 CM
EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; EXCISED DIAMETER 2.1 TO 3.0 CM||11403|EXC B9+MARG ARM DIAM 2.1-3 CM
EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; EXCISED DIAMETER 3.1 TO 4.0 CM||11404|EXC B9+MARG ARM DIAM 3.1-4 CM
EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; EXCISED DIAMETER OVER 4.0 CM||11406|EXC B9+MARG ARM DIAM > 4.0 CM
EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 0.5|CM|11420|EXC B9+MARG HND DIAM 0.5 < CM
EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 0.6|TO|11421|EXC B9+MARG HND DIAM 0.6-1 CM
EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 1.1|TO|11422|EXC B9+MARG HND DIAM 1.1-2 CM
EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 2.1|TO|11423|EXC B9+MARG HND DIAM 2.1-3 CM
EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 3.1|TO|11424|EXC B9+MARG HND DIAM 3.1-4 CM
EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER OVE|R 4|11426|EXC B9+MARG HND DIAM > 4.0 CM
EXCISION, OTHER BENIGN LESION INCLUDING MARGINS (UNLESS LISTED ELSEWHERE), FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; EXCISED DIAMETER 0|0.5|11440|EXC B9+MARG EAR DIAM 0.5 < CM
EXCISION, OTHER BENIGN LESION INCLUDING MARGINS (UNLESS LISTED ELSEWHERE), FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; EXCISED DIAMETER 0|0.6|11441|EXC B9+MARG EAR DIAM 0.6-1 CM
EXCISION, OTHER BENIGN LESION INCLUDING MARGINS (UNLESS LISTED ELSEWHERE), FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; EXCISED DIAMETER 1|0.1|11442|EXC B9+MARG EAR DIAM 1.1-2 CM
EXCISION, OTHER BENIGN LESION INCLUDING MARGINS (UNLESS LISTED ELSEWHERE), FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; EXCISED DIAMETER 2|0.1|11443|EXC B9+MARG EAR DIAM 2.1-3 CM
