Natividad Medical Center,1330 Natividad Rd,Salinas, CA,93906,(408)755-4111
Open MRI Annex,1010 Cass Street,Monterey, CA,93940,(831)644-0500
Alliance Imaging Inc. MRI,23625 Holman Hwy,Monterey, CA,93940,(408)625-4615
Community Hospital Monterey Peninsula,23625 Holman Hwy,Monterey, CA,93940,(408)624-5311
Peninsula Imaging Center,1875 Trousdale Dr.,Burlingame, CA,94010,(415)692-8230
El Camino Hospital,2480 Grant Road,Mountain View, CA,94040,(415)965-2877
Sequoia Magnetic Imaging Center,Whipple and Alameda,Redwood City, CA,94062,(415)367-5649
Sequoia Hospital,170 Alameda de las Pulgas,Redwood City, CA,94062,(415)369-5811
Redwood City MRI,345 Convention Way,Redwood City, CA,94063,(650)369-0500
Kaiser Permanente - Redwood City,1150 Veterans Blvd.,Redwood City, CA,94063,(650)780-2225
Bayside Imaging,735 Galviston Dr.,Redwood City, CA,94063,(650)364-2004
Kaiser Foundation Hospital,1150 Veterans Blvd.,Redwood City, CA,94063,(415)299-2000
Palo Alto Medical Clinic,300 Homer Avenue,Palo Alto, CA,94301,(415)321-4121
Stanford University/Blake Wilbur,900 N. Blake Wilbur Drive,Palo Alto, CA,94304,(415)723-4733
VA Medical Center,3801 Miranda Avenue,Palo Alto, CA,94304,(415)493-5000
Stanford University,Med Center S062A  MC 5105,Stanford, CA,94305,(650)725-8018
Stanford Univ. School of Med.,Welch & Pasteur Dr.,Stanford, CA,94305,(415)723-8205
Stanford University Hospital,300 Pasteur Drive,Stanford, CA,94305,(415)723-6335
MRI Imaging Center,451 Sherman Avenue,Palo Alto, CA,94306,(650)322-1075
San Mateo Imaging,715 N. San Mateo Drive,San Mateo, CA,94401,(415)375-8833
MRI Imaging of San Mateo,32 Baywood Avenue Ste 3,San Mateo, CA,94402,(650)685-1100
The MR Cooperative,4155 Blackhawk Plaza Circle Ste 1200,Danville, CA,94506,(800)526-4850
Tri City Imaging,2191 Mowry Ave #500h,Fremont, CA,94538,(510)797-8219
Fremont Imaging Center,39199 Paseo Padre Pkwy Ste E,Fremont, CA,94538,(510)796-7411
Open MRI of Hayward,3521 Investment Blvd. Ste 5,Hayward, CA,94545,(510)670-0700
Pacific Imaging Consultants,2450 Washington Avenue,San Leandro, CA,94577,(510)351-7734
Humana Hospital,13855 E. 14th Street,San Leadro, CA,94578,(510)667-4570
San Ramon Valley Imaging,3160 Crow Canyon Road,San Ramon, CA,94583,(510)820-2333
Valley Care Imaging,5555 West Las Positas Blvd.,Pleasanton, CA,94588,(510)734-3340
Summit Medical Center,350 Hawthorne Ave,Oakdale, CA,94623,(510)655-4000
Los Gatos M R I,800 Pollard Rd #B101,Los Gatos, CA,95030,(408)374-8897
Kaiser Permanente - Santa Clara,900 Kiely Boulevard,Santa Clara, CA,95051,(408)236-4441
Santa Cruz Comprehensive Medical Imaging,1685 B Commercial Way,Santa Cruz, CA,95065,(831)462-0151
Dominican MRI Center,1545 Soquel Drive,Santa Cruz, CA,95065,(408)476-5167
Watsonville Community Hospital,298 Green Valley Rd.,Watsonville, CA,95076,(408)724-4741
San Jose Medical Center,675 E. Santa Clara St.,San Jose, CA,95112,408-998-3212
South Bay MRI Center,1695 Alum Rock,San Jose, CA,95116,408 923 9295
Santa Teresa Community Hospital,250 Hospital Parkway,San Jose, CA,95119,(408)972-7100
The Center OpenScan MRI,2586 Samaritan Drive,San Jose, CA,95124,(408)356-1104
Valley Radiology Medical Associates Inc,3031 Tisch Way,San Jose, CA,95128,(408)244-2100
Vision MRI Center,828 South Bascam Avenue,San Jose, CA,95128,(408)292-7970
Santa Clara Valley Medical Ctr.,751 South  Bascom Avenue,San Jose, CA,95128,(408)885-6637
San JosT MRI Center,361 S. Monroe St.,San Jose, CA,95128,(408)248-4562
O'Connor Hospital,2105 Forest Ave. Suite M,San Jose, CA,95128,(408)947-2900
Open MRI of Pleasanton,4211 Rosewood Drive  Ste 5,Pleasanton, CA,94588,925 467 1400
Silicon Valley MRI - CT,15405 Los Gatos Blvd. Ste 104,Los Gatos, CA,95032,408 402 0770
MRI of Burlingame,1860 El Camino Real suite 101,Burlingame, CA,94010,650 552 0700
Lucille Packard Children's Hospital @ Stanford,725 Welch Road,Palo Alto, CA,94304,650-497-837
Castro Valley Open MRI Medical Group,21030 Redwood Rd Suite B,Castro Valley, CA,94546,510-856-4800
