Published Rates,,,,,,Sequestration Reduction Applied,,,,
CPT,Final National ASC Rate,Final Local ASC Rate,Local Medicare Pays,Local Patient,,CPT,Final National ASC Rate,Final Local ASC Rate,Local Medicare Pays,Local Patient
0099T,966.16,966.16,772.928,193.232,,0099T,950.70144,950.70144,757.46944,193.232
0100T,1690.59,1690.59,1352.472,338.118,,0100T,1663.54056,1663.54056,1325.42256,338.118
0101T,1422.98,1422.98,1138.384,284.596,,0101T,1400.21232,1400.21232,1115.61632,284.596
0102T,1422.98,1422.98,1138.384,284.596,,0102T,1400.21232,1400.21232,1115.61632,284.596
0123T,966.16,966.16,772.928,193.232,,0123T,950.70144,950.70144,757.46944,193.232
0191T,1677.9,1677.9,1342.32,335.58,,0191T,1651.0536,1651.0536,1315.4736,335.58
0200T,1422.98,1422.98,1138.384,284.596,,0200T,1400.21232,1400.21232,1115.61632,284.596
0201T,1422.98,1422.98,1138.384,284.596,,0201T,1400.21232,1400.21232,1115.61632,284.596
0213T,370.07,370.07,296.056,74.014,,0213T,364.14888,364.14888,290.13488,74.014
0216T,370.07,370.07,296.056,74.014,,0216T,364.14888,364.14888,290.13488,74.014
0226T,29.52,29.52,23.616,5.904,,0226T,29.04768,29.04768,23.14368,5.904
0227T,430.53,430.53,344.424,86.106,,0227T,423.64152,423.64152,337.53552,86.106
0228T,370.07,370.07,296.056,74.014,,0228T,364.14888,364.14888,290.13488,74.014
0230T,370.07,370.07,296.056,74.014,,0230T,364.14888,364.14888,290.13488,74.014
0232T,54.28,54.28,43.424,10.856,,0232T,53.41152,53.41152,42.55552,10.856
0238T,4884.86,4884.86,3907.888,976.972,,0238T,4806.70224,4806.70224,3829.73024,976.972
0249T,1381.77,1381.77,1105.416,276.354,,0249T,1359.66168,1359.66168,1083.30768,276.354
0253T,1677.9,1677.9,1342.32,335.58,,0253T,1651.0536,1651.0536,1315.4736,335.58
0263T,1693.54,1693.54,1354.832,338.708,,0263T,1666.44336,1666.44336,1327.73536,338.708
0264T,1693.54,1693.54,1354.832,338.708,,0264T,1666.44336,1666.44336,1327.73536,338.708
0265T,1693.54,1693.54,1354.832,338.708,,0265T,1666.44336,1666.44336,1327.73536,338.708
0269T,1582.01,1582.01,1265.608,316.402,,0269T,1556.69784,1556.69784,1240.29584,316.402
0270T,945.06,945.06,756.048,189.012,,0270T,929.93904,929.93904,740.92704,189.012
0271T,1227.57,1227.57,982.056,245.514,,0271T,1207.92888,1207.92888,962.41488,245.514
0274T,2211.51,2211.51,1769.208,442.302,,0274T,2176.12584,2176.12584,1733.82384,442.302
0275T,2211.51,2211.51,1769.208,442.302,,0275T,2176.12584,2176.12584,1733.82384,442.302
0282T,3691.78,3691.78,2953.424,738.356,,0282T,3632.71152,3632.71152,2894.35552,738.356
0283T,26041.79,26041.79,20833.432,5208.358,,0283T,25625.12136,25625.12136,20416.76336,5208.358
0284T,945.06,945.06,756.048,189.012,,0284T,929.93904,929.93904,740.92704,189.012
0288T,1381.77,1381.77,1105.416,276.354,,0288T,1359.66168,1359.66168,1083.30768,276.354
0299T,109.95,109.95,87.96,21.99,,0299T,108.1908,108.1908,86.2008,21.99
0301T,689.58,689.58,551.664,137.916,,0301T,678.54672,678.54672,540.63072,137.916
0302T,7574.98,7574.98,6059.984,1514.996,,0302T,7453.78032,7453.78032,5938.78432,1514.996
0303T,2542.22,2542.22,2033.776,508.444,,0303T,2501.54448,2501.54448,1993.10048,508.444
0304T,6269.02,6269.02,5015.216,1253.804,,0304T,6168.71568,6168.71568,4914.91168,1253.804
0307T,1280.34,1280.34,1024.272,256.068,,0307T,1259.85456,1259.85456,1003.78656,256.068
0308T,8590.81,8590.81,6872.648,1718.162,,0308T,8453.35704,8453.35704,6735.19504,1718.162
0313T,945.06,945.06,756.048,189.012,,0313T,929.93904,929.93904,740.92704,189.012
0314T,1227.57,1227.57,982.056,245.514,,0314T,1207.92888,1207.92888,962.41488,245.514
0315T,1227.57,1227.57,982.056,245.514,,0315T,1207.92888,1207.92888,962.41488,245.514
0316T,16172.35,16172.35,12937.88,3234.47,,0316T,15913.5924,15913.5924,12679.1224,3234.47
0319T,22881.67,22881.67,18305.336,4576.334,,0319T,22515.56328,22515.56328,17939.22928,4576.334
0320T,2542.22,2542.22,2033.776,508.444,,0320T,2501.54448,2501.54448,1993.10048,508.444
0321T,22881.67,22881.67,18305.336,4576.334,,0321T,22515.56328,22515.56328,17939.22928,4576.334
0322T,1280.34,1280.34,1024.272,256.068,,0322T,1259.85456,1259.85456,1003.78656,256.068
0323T,22881.67,22881.67,18305.336,4576.334,,0323T,22515.56328,22515.56328,17939.22928,4576.334
0325T,1280.34,1280.34,1024.272,256.068,,0325T,1259.85456,1259.85456,1003.78656,256.068
0334T,3594.58,3594.58,2875.664,718.916,,0334T,3537.06672,3537.06672,2818.15072,718.916
0335T,1111.58,1111.58,889.264,222.316,,0335T,1093.79472,1093.79472,871.47872,222.316
0336T,4747.16,4747.16,3797.728,949.432,,0336T,4671.20544,4671.20544,3721.77344,949.432
0338T,1423.28,1423.28,1138.624,284.656,,0338T,1400.50752,1400.50752,1115.85152,284.656
0339T,1423.28,1423.28,1138.624,284.656,,0339T,1400.50752,1400.50752,1115.85152,284.656
0340T,2268.34,2268.34,1814.672,453.668,,0340T,2232.04656,2232.04656,1778.37856,453.668
0342T,1693.54,1693.54,1354.832,338.708,,0342T,1666.44336,1666.44336,1327.73536,338.708
10021,81.42,81.42,65.136,16.284,,10021,80.11728,80.11728,63.83328,16.284
10022,227.18,227.18,181.744,45.436,,10022,223.54512,223.54512,178.10912,45.436
10030,88.2,88.2,70.56,17.64,,10030,86.7888,86.7888,69.1488,17.64
10040,46.26,46.26,37.008,9.252,,10040,45.51984,45.51984,36.26784,9.252
10060,68.78,68.78,55.024,13.756,,10060,67.67952,67.67952,53.92352,13.756
10061,88.2,88.2,70.56,17.64,,10061,86.7888,86.7888,69.1488,17.64
10080,88.2,88.2,70.56,17.64,,10080,86.7888,86.7888,69.1488,17.64
10081,167.65,167.65,134.12,33.53,,10081,164.9676,164.9676,131.4376,33.53
10120,103.53,103.53,82.824,20.706,,10120,101.87352,101.87352,81.16752,20.706
10121,633.26,633.26,506.608,126.652,,10121,623.12784,623.12784,496.47584,126.652
10140,100.3,100.3,80.24,20.06,,10140,98.6952,98.6952,78.6352,20.06
10160,80.6,80.6,64.48,16.12,,10160,79.3104,79.3104,63.1904,16.12
10180,867.01,867.01,693.608,173.402,,10180,853.13784,853.13784,679.73584,173.402
11000,31.52,31.52,25.216,6.304,,11000,31.01568,31.01568,24.71168,6.304
11010,354.05,354.05,283.24,70.81,,11010,348.3852,348.3852,277.5752,70.81
11011,176.11,176.11,140.888,35.222,,11011,173.29224,173.29224,138.07024,35.222
11012,354.05,354.05,283.24,70.81,,11012,348.3852,348.3852,277.5752,70.81
11042,151.81,151.81,121.448,30.362,,11042,149.38104,149.38104,119.01904,30.362
11043,151.81,151.81,121.448,30.362,,11043,149.38104,149.38104,119.01904,30.362
11044,354.05,354.05,283.24,70.81,,11044,348.3852,348.3852,277.5752,70.81
11055,34.39,34.39,27.512,6.878,,11055,33.83976,33.83976,26.96176,6.878
11056,39.41,39.41,31.528,7.882,,11056,38.77944,38.77944,30.89744,7.882
11057,41.2,41.2,32.96,8.24,,11057,40.5408,40.5408,32.3008,8.24
11100,69.5,69.5,55.6,13.9,,11100,68.388,68.388,54.488,13.9
11200,46.26,46.26,37.008,9.252,,11200,45.51984,45.51984,36.26784,9.252
11300,46.26,46.26,37.008,9.252,,11300,45.51984,45.51984,36.26784,9.252
11301,46.26,46.26,37.008,9.252,,11301,45.51984,45.51984,36.26784,9.252
11302,46.26,46.26,37.008,9.252,,11302,45.51984,45.51984,36.26784,9.252
11303,81.42,81.42,65.136,16.284,,11303,80.11728,80.11728,63.83328,16.284
11305,46.26,46.26,37.008,9.252,,11305,45.51984,45.51984,36.26784,9.252
11306,46.26,46.26,37.008,9.252,,11306,45.51984,45.51984,36.26784,9.252
11307,46.26,46.26,37.008,9.252,,11307,45.51984,45.51984,36.26784,9.252
11308,81.42,81.42,65.136,16.284,,11308,80.11728,80.11728,63.83328,16.284
11310,46.26,46.26,37.008,9.252,,11310,45.51984,45.51984,36.26784,9.252
11311,46.26,46.26,37.008,9.252,,11311,45.51984,45.51984,36.26784,9.252
11312,81.42,81.42,65.136,16.284,,11312,80.11728,80.11728,63.83328,16.284
11313,81.42,81.42,65.136,16.284,,11313,80.11728,80.11728,63.83328,16.284
11400,86.33,86.33,69.064,17.266,,11400,84.94872,84.94872,67.68272,17.266
11401,95.65,95.65,76.52,19.13,,11401,94.1196,94.1196,74.9896,19.13
11402,104.96,104.96,83.968,20.992,,11402,103.28064,103.28064,82.28864,20.992
11403,114.63,114.63,91.704,22.926,,11403,112.79592,112.79592,89.86992,22.926
11404,633.26,633.26,506.608,126.652,,11404,623.12784,623.12784,496.47584,126.652
11406,633.26,633.26,506.608,126.652,,11406,623.12784,623.12784,496.47584,126.652
11420,81.32,81.32,65.056,16.264,,11420,80.01888,80.01888,63.75488,16.264
11421,97.08,97.08,77.664,19.416,,11421,95.52672,95.52672,76.11072,19.416
11422,106.39,106.39,85.112,21.278,,11422,104.68776,104.68776,83.40976,21.278
11423,117.14,117.14,93.712,23.428,,11423,115.26576,115.26576,91.83776,23.428
11424,633.26,633.26,506.608,126.652,,11424,623.12784,623.12784,496.47584,126.652
11426,959.3,959.3,767.44,191.86,,11426,943.9512,943.9512,752.0912,191.86
11440,92.42,92.42,73.936,18.484,,11440,90.94128,90.94128,72.45728,18.484
11441,105.32,105.32,84.256,21.064,,11441,103.63488,103.63488,82.57088,21.064
11442,114.99,114.99,91.992,22.998,,11442,113.15016,113.15016,90.15216,22.998
11443,127.89,127.89,102.312,25.578,,11443,125.84376,125.84376,100.26576,25.578
11444,354.05,354.05,283.24,70.81,,11444,348.3852,348.3852,277.5752,70.81
11446,959.3,959.3,767.44,191.86,,11446,943.9512,943.9512,752.0912,191.86
11450,959.3,959.3,767.44,191.86,,11450,943.9512,943.9512,752.0912,191.86
11451,959.3,959.3,767.44,191.86,,11451,943.9512,943.9512,752.0912,191.86
11462,959.3,959.3,767.44,191.86,,11462,943.9512,943.9512,752.0912,191.86
11463,959.3,959.3,767.44,191.86,,11463,943.9512,943.9512,752.0912,191.86
11470,959.3,959.3,767.44,191.86,,11470,943.9512,943.9512,752.0912,191.86
11471,959.3,959.3,767.44,191.86,,11471,943.9512,943.9512,752.0912,191.86
11600,125.38,125.38,100.304,25.076,,11600,123.37392,123.37392,98.29792,25.076
11601,142.93,142.93,114.344,28.586,,11601,140.64312,140.64312,112.05712,28.586
11602,154.04,154.04,123.232,30.808,,11602,151.57536,151.57536,120.76736,30.808
11603,166.58,166.58,133.264,33.316,,11603,163.91472,163.91472,130.59872,33.316
11604,354.05,354.05,283.24,70.81,,11604,348.3852,348.3852,277.5752,70.81
11606,633.26,633.26,506.608,126.652,,11606,623.12784,623.12784,496.47584,126.652
11620,127.17,127.17,101.736,25.434,,11620,125.13528,125.13528,99.70128,25.434
11621,144.01,144.01,115.208,28.802,,11621,141.70584,141.70584,112.90384,28.802
11622,156.9,156.9,125.52,31.38,,11622,154.3896,154.3896,123.0096,31.38
11623,172.67,172.67,138.136,34.534,,11623,169.90728,169.90728,135.37328,34.534
11624,633.26,633.26,506.608,126.652,,11624,623.12784,623.12784,496.47584,126.652
11626,959.3,959.3,767.44,191.86,,11626,943.9512,943.9512,752.0912,191.86
11640,131.83,131.83,105.464,26.366,,11640,129.72072,129.72072,103.35472,26.366
11641,148.66,148.66,118.928,29.732,,11641,146.28144,146.28144,116.54944,29.732
11642,163.71,163.71,130.968,32.742,,11642,161.09064,161.09064,128.34864,32.742
11643,180.55,180.55,144.44,36.11,,11643,177.6612,177.6612,141.5512,36.11
11644,633.26,633.26,506.608,126.652,,11644,623.12784,623.12784,496.47584,126.652
11646,959.3,959.3,767.44,191.86,,11646,943.9512,943.9512,752.0912,191.86
11719,7.52,7.52,6.016,1.504,,11719,7.39968,7.39968,5.89568,1.504
11720,20.06,20.06,16.048,4.012,,11720,19.73904,19.73904,15.72704,4.012
11721,24.36,24.36,19.488,4.872,,11721,23.97024,23.97024,19.09824,4.872
11730,57.32,57.32,45.856,11.464,,11730,56.40288,56.40288,44.93888,11.464
11740,33.6,33.6,26.88,6.72,,11740,33.0624,33.0624,26.3424,6.72
11750,128.6,128.6,102.88,25.72,,11750,126.5424,126.5424,100.8224,25.72
11752,181.26,181.26,145.008,36.252,,11752,178.35984,178.35984,142.10784,36.252
11755,83.83,83.83,67.064,16.766,,11755,82.48872,82.48872,65.72272,16.766
11760,109.95,109.95,87.96,21.99,,11760,108.1908,108.1908,86.2008,21.99
