acupuncturists,99,medical,Acupuncture,Acupuncturist,Acupuncturists,Specializes in ancient alternative therapy via needles.
addiction-specialists,99,medical,Addiction Medicine,Addiction Specialist,Addiction Specialists,Specializes in the treatment of addiction disorders.
allergists,99,medical,Allergy & Immunology,Allergist,Allergists,Specializes in treatment of allergies and the immune system.
alternative-medicine-practitioners,99,medical,Alternative Medicine & Other,Alternative Medicine Practitioner,Alternative Medicine Practitioners,Specializes in alternative treatments and therapies.
anesthesiologists,99,medical,Anesthesiology,Anesthesiologist,Anesthesiologists,Specializes in managing pain and anesthesia in surgeries.
mental-health-therapists,99,medical,Behavioral and Mental Health,Mental Health Therapist,Mental Health Therapists,Specializes in behavioral health counseling services.
cardiothoracic-surgeons,99,medical,Cardiothoracic Surgery,Cardiothoracic Surgeon,Cardiothoracic Surgeons,Specializes in chest and heart surgery.
cardiologists,99,medical,Cardiovascular Disease,Cardiologist,Cardiologists,Specializes in heart problems.
childrens-doctors,99,medical,Children's Doctor,Children's Doctor,Children's Doctors,Specializes in the health of children from birth to young adulthood.
chiropractors,99,medical,Chiropractics,Chiropractor,Chiropractors,"Specializes in alternartive therapy of muscles, bones, and joints."
geneticists,99,medical,Clinical Genetics,Geneticist,Geneticists,Specializes in the diagnoses of and counselling for genetic disorders.
colorectal-surgeons,99,medical,Colon & Rectal Surgery,Colorectal Surgeon,Colorectal Surgeons,Specializes in colon and rectal surgery.
counselors,99,medical,Counseling,Counselor,Counselors,Specializes in behavioral health service counseling.
critical-care-doctors,99,medical,Critical Care Medicine,Critical Care Doctor,Critical Care Doctors,Specializes in the care of critically ill patients.
dentists,4,dental,Dentistry,Dentist,Dentists,Specializes in teeth and oral health.
dermatologists,6,medical,Dermatology,Dermatologist,Dermatologists,"Specializes in skin disorders, including moles and melanoma."
dietitians,99,medical,"Dietitian, Registered",Dietitian,Dietitians,Specializes in alternative food and nutrition therapies.
emergency-medicine-doctors,99,medical,Emergency Medicine,Emergence Medicine Doctor,Emergence Medicine Doctors,Specializes in immediate emergency care.
endocrinologists,99,medical,"Endocrinology, Diabetes & Metabolism",Endocrinologist,Endocrinologists,"Specializes in diabetes, thyroid and other disorders affected by hormones."
eye-doctors,5,vision,Eye Doctor,Eye Doctor,Eye Doctors,Specializes in your vision and eyes.
gastroenterologists,99,medical,Gastroenterology,Gastroenterologist,Gastroenterologists,Specializes in the digestive system.
geriatric-medicine-doctors,99,medical,Geriatric Medicine,Geriatric Medicine Doctor,Geriatric Medicine Doctors,Specializes in the aging process and elderly.
oncologists,99,medical,Hematology & Oncology,Oncologist,Oncologists,Specializes in the diagnosis and treatment of cancer and tumors.
hepatologists,99,medical,Hepatology,Hepatologist,Hepatologists,Specializes in liver and spleen diseases.
hospice-care-palliative-doctors,99,medical,Hospice and Palliative Medicine,Hospice Care and Palliative Doctor,Hospice Care and Palliative Doctors,Specializes in preventing and relieving suffering of dying patients.
hospitalists,99,medical,Hospitalist,Hospitalist,Hospitalists,Specializes in general medical care of hospitalized patients.
infectious-disease-doctors,99,medical,Infectious Disease,Infectious Disease Doctor,Infectious Disease Doctors,Specializes in infectious diseases of all types and in all organ systems.
massage-therapists,99,medical,Massage Therapy,Massage Therapist,Massage Therapists,Specializes in alternative therapy of muscles and tissue.
naturopathic-doctors,99,medical,Naturopath,Naturopathic Doctor,Naturopathic Doctors,Specializes in alternative natural healing.
nephrologists,99,medical,Nephrology,Nephrologist,Nephrologists,Specializes in patients with kidney disorders.
neurosurgeons,99,medical,Neurological Surgery,Neurosurgeon,Neurosurgeons,Specializes in nervous system and brain surgery.
neurologists,99,medical,Neurology,Neurologist,Neurologists,Specializes in the brain and nervous system.
neuromusculoskeletal-medicine-doctors,99,medical,Neuromusculoskeletal Medicine,Neuromusculoskeletal Medicine Doctor,Neuromusculoskeletal Medicine Doctors,Specializes in holistic physical therapy to treat illnesses.
nuclear-medicine-doctors,99,medical,Nuclear Medicine,Nuclear Medicine Doctor,Nuclear Medicine Doctors,Specializes in diagnosing and treating diseases with radioactive materials.
nurse-practitioners,99,medical,Nurse Practitioner,Nurse Practitoner,Nurse Practitoners,Specializes in your and your family's health.
nutritionists,99,medical,Nutrition Medicine,Nutritionist,Nutritionists,Specializes in alternative food and nutrition therapies.
obgyns,3,medical,OBGYN,OBGYN,OBGYNs,Specializes in the care of the female reproductive system.
ophthalmologists,99,vision,Ophthalmology,Ophthalmologist,Ophthalmologists,"Specializes in vision, eye care, and eye surgery including Lasik."
